CATEGORY,GROUP,QUESTION
The Open Budget Questionnaire,The Open Budget Index,1
The Open Budget Questionnaire,The Open Budget Index,2
The Open Budget Questionnaire,The Open Budget Index,3
The Open Budget Questionnaire,The Open Budget Index,4
The Open Budget Questionnaire,The Open Budget Index,5
The Open Budget Questionnaire,The Open Budget Index,6
The Open Budget Questionnaire,The Open Budget Index,7
The Open Budget Questionnaire,The Open Budget Index,8
The Open Budget Questionnaire,The Open Budget Index,9
The Open Budget Questionnaire,The Open Budget Index,10
The Open Budget Questionnaire,The Open Budget Index,11
The Open Budget Questionnaire,The Open Budget Index,12
The Open Budget Questionnaire,The Open Budget Index,13
The Open Budget Questionnaire,The Open Budget Index,14
The Open Budget Questionnaire,The Open Budget Index,15
The Open Budget Questionnaire,The Open Budget Index,16
The Open Budget Questionnaire,The Open Budget Index,17
The Open Budget Questionnaire,The Open Budget Index,18
The Open Budget Questionnaire,The Open Budget Index,19
The Open Budget Questionnaire,The Open Budget Index,20
The Open Budget Questionnaire,The Open Budget Index,21
The Open Budget Questionnaire,The Open Budget Index,22
The Open Budget Questionnaire,The Open Budget Index,23
The Open Budget Questionnaire,The Open Budget Index,24
The Open Budget Questionnaire,The Open Budget Index,25
The Open Budget Questionnaire,The Open Budget Index,26
The Open Budget Questionnaire,The Open Budget Index,27
The Open Budget Questionnaire,The Open Budget Index,28
The Open Budget Questionnaire,The Open Budget Index,29
The Open Budget Questionnaire,The Open Budget Index,30
The Open Budget Questionnaire,The Open Budget Index,31
The Open Budget Questionnaire,The Open Budget Index,32
The Open Budget Questionnaire,The Open Budget Index,33
The Open Budget Questionnaire,The Open Budget Index,34
The Open Budget Questionnaire,The Open Budget Index,35
The Open Budget Questionnaire,The Open Budget Index,36
The Open Budget Questionnaire,The Open Budget Index,37
The Open Budget Questionnaire,The Open Budget Index,38
The Open Budget Questionnaire,The Open Budget Index,39
The Open Budget Questionnaire,The Open Budget Index,40
The Open Budget Questionnaire,The Open Budget Index,41
The Open Budget Questionnaire,The Open Budget Index,42
The Open Budget Questionnaire,The Open Budget Index,43
The Open Budget Questionnaire,The Open Budget Index,44
The Open Budget Questionnaire,The Open Budget Index,45
The Open Budget Questionnaire,The Open Budget Index,46
The Open Budget Questionnaire,The Open Budget Index,47
The Open Budget Questionnaire,The Open Budget Index,48
The Open Budget Questionnaire,The Open Budget Index,49
The Open Budget Questionnaire,The Open Budget Index,50
The Open Budget Questionnaire,The Open Budget Index,51
The Open Budget Questionnaire,The Open Budget Index,52
The Open Budget Questionnaire,The Open Budget Index,53
The Open Budget Questionnaire,The Open Budget Index,54
The Open Budget Questionnaire,The Open Budget Index,55
The Open Budget Questionnaire,The Open Budget Index,56
The Open Budget Questionnaire,The Open Budget Index,57
The Open Budget Questionnaire,The Open Budget Index,58
The Open Budget Questionnaire,The Open Budget Index,60
The Open Budget Questionnaire,The Open Budget Index,61
The Open Budget Questionnaire,The Open Budget Index,62
The Open Budget Questionnaire,The Open Budget Index,63
The Open Budget Questionnaire,The Open Budget Index,64
The Open Budget Questionnaire,The Open Budget Index,66
The Open Budget Questionnaire,The Open Budget Index,67
The Open Budget Questionnaire,The Open Budget Index,68
The Open Budget Questionnaire,The Open Budget Index,69
The Open Budget Questionnaire,The Open Budget Index,70
The Open Budget Questionnaire,The Open Budget Index,71
The Open Budget Questionnaire,The Open Budget Index,73
The Open Budget Questionnaire,The Open Budget Index,74
The Open Budget Questionnaire,The Open Budget Index,75
The Open Budget Questionnaire,The Open Budget Index,76
The Open Budget Questionnaire,The Open Budget Index,77
The Open Budget Questionnaire,The Open Budget Index,78
The Open Budget Questionnaire,The Open Budget Index,79
The Open Budget Questionnaire,The Open Budget Index,80
The Open Budget Questionnaire,The Open Budget Index,81
The Open Budget Questionnaire,The Open Budget Index,82
The Open Budget Questionnaire,The Open Budget Index,83
The Open Budget Questionnaire,The Open Budget Index,84
The Open Budget Questionnaire,The Open Budget Index,85
The Open Budget Questionnaire,The Open Budget Index,86
The Open Budget Questionnaire,The Open Budget Index,87
The Open Budget Questionnaire,The Open Budget Index,88
The Open Budget Questionnaire,The Open Budget Index,89
The Open Budget Questionnaire,The Open Budget Index,91
The Open Budget Questionnaire,The Open Budget Index,95
The Open Budget Questionnaire,The Open Budget Index,96
The Open Budget Questionnaire,The Open Budget Index,101
The Open Budget Questionnaire,The Open Budget Index,108
The Open Budget Questionnaire,The Open Budget Index,109
