NUMBER,TEXT,A,B,C,D,E
1,"Does the Executive’s Budget Proposal or any supporting budget documentation present  expenditures for the budget year that are classified by administrative unit (that is, by ministry, department, or agency)? ",All expenditures are classified by administrative unit,"Expenditures are classified by administrative unit, but expenditures for some small units are not presented separately. ","Expenditures are classified by administrative unit, but those for a significant number of units are not presented separately.  ",No expenditures classified by administrative unit are presented,Not applicable/other (please comment). 
2,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the budget year by functional classification?,"All expenditures are presented by functional classification, and the categorization is compatible with international standards.","All expenditures are presented by functional classification, but the categorization is not compatible with international standards.","Some, but not all, expenditures are presented by functional classification.",No expenditures classified by function are presented.,Not applicable/other (please comment).
3,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the budget year that are presented by economic classification?,"All expenditures are presented by economic classification, and the categorization is compatible with international standards.","All expenditures are presented by economic classification, but the categorization is not compatible with international standards.","Some, but not all, expenditures are presented by economic classification.",No expenditures classified by economic classification are presented.,Not applicable/other (please comment).
4,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for individual programs for the budget year?, Program-level data are presented for all expenditures.,"Program-level data are presented for at least two-thirds of, but not all, expenditures.","Program-level data are presented, but for less than two-thirds of expenditures.",No program-level data are presented.,Not applicable/other (please comment).
5,In the Executive’s Budget Proposal or any supporting budget documentation are estimates of the aggregate level of expenditure presented for a multi-year period (at least two years beyond the budget year)?,"Yes, multi-year estimates of aggregate expenditure are presented.","No, multi-year estimates of aggregate expenditure are not presented.", Not applicable/other (please comment).,,
6,In the Executive’s Budget Proposal or any supporting budget documentation is more detail in addition to the aggregate level presented for expenditure estimates that cover a multi-year period (for at least two years beyond the budget year)?,"Yes, multi-year expenditure estimates are presented for all individual programs, and for one or more expenditure classification (such as functional, economic, or administrative).","Yes, multi-year estimates are presented for one or more expenditure classification (such as functional, economic, or administrative), but only for some individual programs.","Yes, multi-year estimates are presented, but only for a portion of one or more of the expenditure classifications (such as some functions, or some administrative units) and/or for only some individual programs.","No, multi-year estimates are presented for aggregate expenditure only, or they are not presented at all.",Not applicable/other (please comment).
7,Does the Executive’s Budget Proposal or any supporting budget documentation identify the different sources of tax revenue (such as income tax or VAT) for the budget year?,All sources of tax revenue are identified individually.,Sources of tax revenue amounting to at least two-thirds of but not all tax revenues are identified individually., Sources of tax revenue amounting to less than two-thirds of all tax revenues are identified individually.,No sources of tax revenue are identified individually.,Not applicable/other (please comment).
8,"Does the Executive’s Budget Proposal or any supporting budget documentation identify the different sources of non-tax revenue (such as grants, property income, and sales of government-produced goods and services) for the budget year?",All sources of non-tax revenue are identified individually.," Sources of non-tax revenue amounting to at least two-thirds of, but not all, non-tax revenues are identified individually.",Sources of non-tax revenue amounting to less than two-thirds of all non-tax revenue are identified individually.,No sources of non-tax revenue are identified individually.,Not applicable/other (please comment).
9,In the Executive’s Budget Proposal or any supporting budget documentation are estimates of the aggregate level of revenue presented for a multi-year period (at least two years beyond the budget year)?,"Yes, multi-year estimates of aggregate revenue are presented.","No, multi-year estimates of aggregate revenue are not presented.",Not applicable/other (please comment).,,
10,In the Executive’s Budget Proposal or any supporting budget documentation is more detail in addition to the aggregate level presented for revenue estimates that cover a multi-year period (for at least two years beyond the budget year)?,"Yes, multi-year revenue estimates are presented for individual sources of revenue, and by revenue classification (such as tax and non-tax).","Yes, multi-year estimates are presented by revenue classification (such as tax and non-tax), but only for some individual sources of revenue.","Yes, multi-year estimates are presented, but only for some individual sources of revenue.","No, multi-year estimates are presented for aggregate revenue only, or they are not presented at all.",Not applicable/other (please comment).
11,Does the Executive’s Budget Proposal or any supporting budget documentation present data on the total government debt outstanding for the budget year?,"Yes, the data reflect the outstanding debt both at the start of the budget year and at the end of the budget year (and thereby reflect the net borrowing requirement of the budget).","Yes, the data reflect the outstanding debt at the end of the budget year."," Yes, the data reflect the outstanding debt at the start of the budget year.","No, data on the outstanding debt are not presented.",Not applicable/other (please comment).
12,Does the Executive’s Budget Proposal or any supporting budget documentation present interest payments on the debt for the budget year?,"Yes, interest payments on the debt are presented."," No, interest payments on the debt are not presented.",Not applicable/other (please comment).,,
13,"Does the Executive’s Budget Proposal or any supporting budget documentation present information related to the composition of government debt (such as interest rates on the debt, maturity profile of the debt, currency denomination of the debt, or whether it is domestic or external debt) for the budget year?","Yes, extensive information related to the composition of government debt is presented."," Yes, key additional information is presented, but some details are excluded."," Yes, some additional information is presented, but it lacks important details."," No, additional information related to the composition of government debt is not presented.",Not applicable/other (please comment).
14,Does the Executive’s Budget Proposal or any supporting budget documentation present the macroeconomic forecast upon which the budget projections are based?," Yes, an extensive discussion of the macroeconomic forecast is presented, and key assumptions (for such factors as inflation, real GDP growth, unemployment rate, and interest rates) are stated explicitly.","Yes, the macroeconomic forecast is discussed and most of the key assumptions are stated explicitly, but some details are excluded."," Yes, there is some discussion of the macroeconomic forecast (and/or the presentation of key assumptions), but it lacks important details.","No, information related to the macroeconomic forecast is not presented.", Not applicable/other (please comment).
15,"Does the Executive’s Budget Proposal or any supporting budget documentation show the impact of different macroeconomic assumptions (i.e., sensitivity analysis) on the budget (including impacts on expenditures, revenues, and debt)?","Yes, extensive information on the impact of macroeconomic assumptions on the budget is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting the impact of the major macroeconomic assumptions, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on the impact of different macroeconomic assumptions on the budget is not presented.",Not applicable/other (please comment).
16,"Does the Executive’s Budget Proposal or any supporting budget documentation present information for at least the budget year that shows how policy proposals, as distinct from existing policies, affect expenditures?","Yes, extensive information on the impact of policy proposals on expenditures is presented, including both a narrative discussion and quantitative estimates."," Yes, information is presented, highlighting the impact of key policy proposals on expenditures, but some details are excluded."," Yes, some information is presented, but it lacks important details.","No, information on the impact of policy proposals on expenditures is not presented.", Not applicable/other (please comment).
17,"Does the Executive’s Budget Proposal or any supporting budget documentation present information for at least the budget year that shows how policy proposals, as distinct from existing policies, affect revenues?"," Yes, extensive information on the impact of policy proposals on revenues is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting the impact of key policy proposals on revenues, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on the impact of policy proposals on revenues is not presented.", Not applicable/other (please comment).
18,"Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the year preceding the budget year (BY-1) that are classified by administrative unit (that is, by ministry, department, or agency)?",All expenditures are classified by administrative unit for BY-1.,"Expenditures are classified by administrative unit for BY-1, but some small units are not shown separately."," Expenditures are classified by administrative unit for BY-1, but a significant number of units are not shown separately.", No expenditures classified by administrative unit are presented for BY-1.,Not applicable/other (please comment).
19,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the year preceding the budget year (BY-1) that are classified by functional classification?," All expenditures are classified by functional classification for BY-1, and the categorization is compatible with international standards.","All expenditures are classified by functional classification for BY-1, but the categorization is not compatible with international standards."," Some, but not all, expenditures are classified by function for BY-1.", No expenditures classified by function are presented for BY-1., Not applicable/other (please comment).
20,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for the year preceding the budget year (BY-1) that are classified by economic classification?,"All expenditures are classified by economic classification for BY-1, and the categorization is compatible with international standards.","All expenditures are classified by economic classification for BY-1, but the categorization is not compatible with international standards."," Some, but not all, expenditures are classified by economic classification for BY-1.",No expenditures classified by economic classification are presented for BY-1.,Not applicable/other (please comment).
21,Does the Executive’s Budget Proposal or any supporting budget documentation present expenditures for individual programs for the year preceding the budget year (BY-1)?,Program-level expenditure data are presented for all expenditures for BY-1.," Program-level expenditure data are presented for at least two-thirds of, but not all, expenditures for BY-1.","Program-level expenditure data are presented, but for less than two-thirds of expenditures for BY-1.", No program-level expenditure data are presented for BY-1., Not applicable/other (please comment).
22,"In the Executive’s Budget Proposal or any supporting budget documentation, how many months of data on actual expenditures are reflected in the expenditure estimates of the year prior to the budget year (BY-1)?", All BY-1 estimates have been updated from the original enacted levels to reflect six or more months of actual expenditure.,All BY-1 estimates have been updated from the original enacted levels but reflect less than six months of actual expenditure., Some BY-1 estimates have been updated from the original enacted levels to reflect actual expenditure.,"The BY-1 estimates have not been updated from the original enacted levels, or no BY-1 estimates are presented.", Not applicable/other (please comment).
23,"In the Executive’s Budget Proposal or any supporting budget documentation are estimates of the aggregate level of expenditure presented for more than one year prior to the budget year (that is, BY-2 and prior years)?","Yes, such prior-year estimates of aggregate expenditure are presented.","No, such prior-year estimates of aggregate expenditure are not presented.", Not applicable/other (please comment).,,
24,"Does the Executive’s Budget Proposal or any supporting budget documentation present more detail in addition to the aggregate level for expenditure estimates that cover more than one year prior to the budget year (that is, BY-2 and prior years)?","Yes, such prior-year expenditure estimates are presented for all individual programs, and for one or more expenditure classification (such as functional, economic, or administrative)."," Yes, such prior-year estimates are presented for one or more expenditure classification (such as functional, economic, or administrative), but only for some individual programs.","Yes, such prior-year estimates are presented, but only for a portion of one or more of the expenditure classifications (such as some functions, or some administrative units) and/or for only some individual programs.","No, such prior-year estimates are presented for aggregate expenditure only, or they are not presented at all.", Not applicable/other (please comment).
25,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all expenditures reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3)., Before BY-3.,No actual data for all expenditures are presented in the budget or supporting budget documentation., Not applicable/other (please comment).
26,Are the expenditure estimates for the years prior to the budget year adjusted as needed to be comparable with the budget-year estimates in terms of classification and presentation?,"Yes, prior-year data are always adjusted to be comparable to the budget year data.","Yes, in most cases, prior-year data are adjusted to be comparable.","Yes, in some cases, prior-year data are adjusted to be comparable, but significant deviations between prior-year and budget-year classifications exist.","No, prior-year data are not adjusted to be comparable, or no prior-year estimates are presented.", Not applicable/other (please comment).
27,Does the Executive’s Budget Proposal or any supporting budget documentation identify the different sources of tax revenue (such as income tax or VAT) for the year preceding the budget year (BY-1)?,All tax revenues are identified individually for BY-1.,"Tax revenues amounting to at least two-thirds of, but not all, tax revenue for BY-1 are identified individually.", Tax revenues amounting to less than two-thirds of all tax revenues for BY-1 are identified individually., No tax revenues are identified individually for BY-1.,Not applicable/other (please comment).
28,"Does the Executive’s Budget Proposal or any supporting budget documentation identify the different sources of non-tax revenue (such as grants, property income, and sales of goods and services) for the year preceding the budget year (BY-1)?",All non-tax revenues are identified individually for BY-1.," Non-tax revenues amounting to at least two-thirds of, but not all, non-tax revenue for BY-1 are identified individually.",Non-tax revenues amounting to less than two-thirds of all non-tax  revenues for BY-1 are identified individually.,No non-tax revenues are identified individually for BY-1.,Not applicable/other (please comment).
29,"In the Executive’s Budget Proposal or any supporting budget documentation, how many months of data on actual revenues are reflected in the revenue estimates of the year prior to the budget year (BY-1)?",All BY-1 estimates have been updated from the original estimates to reflect six or more months of actual revenue collections., All BY-1 estimates have been updated from the original estimates but reflect less than six months of actual revenue collections., Some BY-1 estimates have not been updated from the original estimates to reflect actual revenue collections.,"The BY-1 estimates have not been updated from the original estimates, or no BY-1 estimates are presented.",Not applicable/other (please comment).
30,"In the Executive’s Budget Proposal or any supporting budget documentation are estimates of the aggregate level of revenues presented for more than one year prior to the budget year (that is, BY-2 and prior years)?"," Yes, such prior-year estimates of aggregate revenue are presented."," No, such prior-year estimates of aggregate revenue are not presented.", Not applicable/other (please comment).,,
31,"In the Executive’s Budget Proposal or any supporting budget documentation is more detail in addition to the aggregate level presented for revenue estimates for more than one year prior to the budget year (that is, BY-2 and prior years)?","Yes, such prior-year revenue estimates are presented for individual sources of revenue, and by revenue classification (such as tax and non-tax).","Yes, such prior-year estimates are presented by revenue classification (such as tax and non-tax), but only for some individual sources of revenue."," Yes, such prior-year estimates are presented, but only for some individual sources of revenue.","No, such prior-year estimates are presented for aggregate revenue only, or they are not presented at all.",Not applicable/other (please comment).
32,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which all revenues reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3)., Before BY-3.,No actual data for all revenues are presented in the budget or supporting budget documentation.,Not applicable/other (please comment).
33,Does the Executive’s Budget Proposal or any supporting budget documentation present information related to the government debt for the year preceding the budget year?,"Yes, extensive information is presented on the level and composition of government debt for the year preceding the budget year.","Yes, information on the level of debt is presented, but some important details about the composition of the debt are excluded.","Yes, but only information on the level of debt is presented.","No, information related to the government debt for BY-1 is not presented.",Not applicable/other (please comment).
34,"In the Executive’s Budget Proposal or any supporting budget documentation, what is the most recent year presented for which the debt figures reflect actual outcomes?",Two years prior to the budget year (BY-2).,Three years prior to the budget year (BY-3)., Before BY-3., No actual data for government debt are presented in the budget or supporting budget documentation., Not applicable/other (please comment).
35,Does the Executive’s Budget Proposal or any supporting budget documentation present information on extra-budgetary funds for at least the budget year?,"Yes, extensive information on extra-budgetary funds is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key extra-budgetary funds, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information on extra-budgetary funds is not presented.",Not applicable/other (please comment).
36,Does the Executive’s Budget Proposal or any supporting budget documentation present information on intergovernmental transfers for at least the budget year?," Yes, extensive information on intergovernmental transfers is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key intergovernmental transfers, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on intergovernmental transfers is not presented.", Not applicable/other (please comment).
37,Does the Executive’s Budget Proposal or any supporting budget documentation present information on transfers to public corporations for at least the budget year?," Yes, extensive information on transfers to public corporations is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key transfers to public corporations, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information on transfers to public corporations is not presented.",Not applicable/other (please comment).
38,Does the Executive’s Budget Proposal or any supporting budget documentation present information on quasi-fiscal activities for at least the budget year?,"Yes, extensive information on quasi-fiscal activities is presented, including both a narrative discussion and, where possible, quantitative estimates.","Yes, information is presented, highlighting key quasi-fiscal activities, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on quasi-fiscal activities is not presented.",Not applicable/other (please comment).
39,Does the Executive’s Budget Proposal or any supporting budget documentation present information on financial assets held by the government?,"Yes, extensive information on financial assets is presented, including a listing of the assets, a discussion of their purpose, and an estimate of their market value.","Yes, information is presented, highlighting key information, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information on financial assets is not presented.",Not applicable/other (please comment).
40,Does the Executive’s Budget Proposal or any supporting budget documentation present information on nonfinancial assets held by the government?,"Yes, extensive information on nonfinancial assets is presented, including a listing of the assets and, where possible, an estimate of their market value.","Yes, information is presented, highlighting key information, but some details are excluded."," Yes, some information is presented, but it lacks important details.",No information on nonfinancial assets is presented.,Not applicable/other (please comment).
41,Does the Executive’s Budget Proposal or any supporting budget documentation present information on expenditure arrears for at least the budget year?,"Yes, extensive information on expenditure arrears is presented, including both a narrative discussion and quantitative estimates."," Yes, information is presented, highlighting key expenditure arrears, but some details are excluded.","Yes, some information is presented, but it lacks important details.","No, information on expenditure arrears is not presented.",Not applicable/other (please comment).
42,Does the Executive’s Budget Proposal or any supporting budget documentation present information on contingent liabilities (such as government loan guarantees)?,"Yes, extensive information on contingent liabilities is presented, including both a narrative discussion and quantitative estimates.","Yes, information is presented, highlighting key contingent liabilities, but some details are excluded.","Yes, some information is presented, but it lacks important details."," No, information on contingent liabilities is not presented.",Not applicable/other (please comment).
